idx,correctness,efficiency,readability
1,5,5,5
2,5,5,5
3,5,4,4
4,5,5,5
5,3,3,3
6,5,5,4
7,4,3,3
9,4,5,5
10,4,4,4
15,5,5,5
16,5,5,5
19,5,5,5
20,5,5,5
24,4,5,4
28,5,5,5
31,4,3,4
34,3,3,4
35,4,4,4
36,5,5,5
37,3,3,3
39,5,5,5
41,3,4,4
48,1,4,4
50,3,3,3
52,2,3,3
56,5,5,4
60,2,2,2
62,3,4,4
63,5,4,5
76,3,4,5
77,3,4,3
79,1,4,3
80,4,4,4
85,4,4,4
94,2,4,4
114,4,4,4
117,3,4,4
118,2,2,2
119,3,3,4
132,2,3,4
142,2,4,3
146,3,3,3
160,1,4,4
164,2,4,3
172,1,4,5
173,5,5,5
178,2,4,3
179,4,3,3
187,3,3,4
206,2,4,3
208,3,4,4
211,2,4,4
222,3,4,4
231,3,4,4
249,2,4,3
250,3,4,4
357,3,4,4
500,3,3,4
